구,법정동,층,건축년도,용적률,건폐율,노령화지수,전세가율,소비자물가지수,회사채,지하철역 개수,면적당가격(만원)
도봉구,창동,13,1989.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1355.0884955752213
도봉구,창동,7,1991.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1380.145278450363
도봉구,창동,11,1999.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,776.7995857068877
도봉구,창동,22,2004.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1108.738824305125
도봉구,창동,6,2006.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,448.2189195564992
도봉구,창동,15,2001.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1294.1393973007948
도봉구,창동,4,2002.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,351.40562248995985
도봉구,창동,9,1988.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1062.0458356623813
도봉구,창동,13,1991.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1281.5378454144975
도봉구,창동,4,1990.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1406.688025630757
도봉구,창동,3,2003.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,513.874614594039
도봉구,창동,8,1991.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1181.4177012414898
도봉구,창동,12,1990.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1637.3142542652722
도봉구,창동,11,1990.0,192.2601168831169,56.16371818181819,1.927277594360668,54.26,104.69,358045.0,9,1511.814177012415
도봉구,도봉동,8,1995.0,141.17766153846154,50.91124615384616,3.7646883388010735,56.28,109.21,271190.0,4,641.629385448552
